name,orientation,pdf_x0,pdf_y0,pdf_x1,pdf_y1,px_x0,px_y0,px_x1,px_y1
,vertical,224,618,231.4,663,934.8,2213.6,968.8,2420.6
,vertical,280.9,519,288.3,551,1196.5,1758.2,1230.6,1905.4
,vertical,621.1,597,628.5,617.5,2761.5,2117,2795.5,2211.3
BARONESS DRIVE,vertical,451.9,443.1,459.3,550,1983.1,1409.1,2017.2,1900.8
BERWIND DRIVE,vertical,60.3,427.3,67.7,520.5,181.8,1336.4,215.8,1765.1
BERWIND ROAD,vertical,39.8,556.2,47.2,664.5,87.5,1929.3,121.5,2427.5
CAZASSA DRIVE,horizontal,39.8,591.1,676,598.5,87.5,2089.9,3014,2123.9
CHESSWAY DRIVE,horizontal,60.3,513.1,347.7,520.5,181.8,1731.1,1503.8,1765.1
CLAYMORE DRIVE,horizontal,433.3,269.2,1150,276.6,1897.6,609.1,5194.4,643.2
COMMONWEALTH DRIVE,vertical,911.5,147.1,921.9,355.44,4097.3,47.5,4145.1,1005.8
DEVON DRIVE,horizontal,673.2,165,1154.7,172.4,3001.1,129.8,5216,163.8
DUCHESS DRIVE,horizontal,39.5,612.5,231.4,619.9,86.1,2188.3,968.8,2222.3
DUCHESS DRIVE,horizontal,398.7,612.1,628.5,619.5,1738.4,2186.5,2795.5,2220.5
EGLESFIELD DRIVE,horizontal,30.2,657.1,498,664.5,43.3,2393.5,2195.2,2427.5
KINGSGATE DRIVE,horizontal,103,543.8,346,551.2,378.2,1872.3,1496,1906.3
KINGSGATE DRIVE,horizontal,338.44,543.8,722.8,551.2,1461.2,1872.3,3229.3,1906.3
KINGSGATE DRIVE,horizontal,714.2,349.8,1072,357.2,3189.7,979.9,4835.6,1013.9
KINGSGATE DRIVE,vertical,714.2,349.8,722.8,551.2,3189.7,979.9,3229.3,1906.3
LIVERPOOL DRIVE,vertical,1147.3,168.3,1154.7,333.4,5182,145,5216,904.4
LONG BOW DRIVE,horizontal,433.3,217.4,1150,224.8,1897.6,370.8,5194.4,404.9
MILLBRANCH PARK DRIVE,horizontal,433.3,326,1154.7,333.4,1897.6,870.4,5216,904.4
NEW GATE DRIVE,vertical,992.3,349.8,999.7,549.5,4469,979.9,4503,1898.5
NEW GATE DRIVE SOUTH,horizontal,777,542.1,999.7,549.5,3478.6,1864.5,4503,1898.5
POPINJAY DRIVE,horizontal,713.3,395,994.6,402.4,3185.6,1187.8,4479.6,1221.8
QUEENSLAND DRIVE,horizontal,60.3,427.3,347.7,434.7,181.8,1336.4,1503.8,1370.4
QUEENSLAND DRIVE,horizontal,338.44,443.1,994.6,450.5,1461.2,1409.1,4479.6,1443.1
QUILL DRIVE,horizontal,60.3,468.4,347.7,475.8,181.8,1525.4,1503.8,1559.5
SINGING TREES DRIVE,vertical,673.2,171.1,683.6,329,3001.1,157.9,3049,884.2
SOUTH MILLBRANCH DRIVE,vertical,433.3,217.4,440.7,450.5,1897.6,370.8,1931.6,1443.1
VICTORIA DRIVE,vertical,343.1,401.6,350.5,551.2,1482.7,1218.2,1516.7,1906.3
VICTORIA ROAD,vertical,398.7,545.8,406.1,664.5,1738.4,1881.5,1772.5,2427.5
WESSEX DRIVE,vertical,560.75,443.1,568.15,550,2483.8,1409.1,2517.9,1900.8
WOODSFIELD DRIVE,horizontal,713.3,491.2,994.6,498.6,3185.6,1630.3,4479.6,1664.4
