building,street,unit,type,pdf_x0,pdf_y0,pdf_x1,pdf_y1,px_x0,px_y0,px_x1,px_y1
1809,BA,1,3-4BR,424.68,453.64,445.4,461.04,1857.9,1457.5,1953.2,1491.6
1809,BA,2,3-4BR,403.96,453.64,424.68,461.04,1762.6,1457.5,1857.9,1491.6
1809,BA,3,3-4BR,424.68,461.04,445.4,468.44,1857.9,1491.6,1953.2,1525.6
1809,BA,4,3-4BR,403.96,461.04,424.68,468.44,1762.6,1491.6,1857.9,1525.6
1810,BA,1,3-4BR,466.12,453.64,486.84,461.04,2048.6,1457.5,2143.9,1491.6
1810,BA,2,3-4BR,486.84,453.64,507.56,461.04,2143.9,1457.5,2239.2,1491.6
1810,BA,3,3-4BR,466.12,461.04,486.84,468.44,2048.6,1491.6,2143.9,1525.6
1810,BA,4,3-4BR,486.84,461.04,507.56,468.44,2143.9,1491.6,2239.2,1525.6
1815,BA,1,3-4BR,424.68,468.44,445.4,475.84,1857.9,1525.6,1953.2,1559.7
1815,BA,2,3-4BR,403.96,468.44,424.68,475.84,1762.6,1525.6,1857.9,1559.7
1815,BA,3,3-4BR,424.68,475.84,445.4,483.24,1857.9,1559.7,1953.2,1593.7
1815,BA,4,3-4BR,403.96,475.84,424.68,483.24,1762.6,1559.7,1857.9,1593.7
1820,BA,1,3-4BR,466.12,468.44,486.84,475.84,2048.6,1525.6,2143.9,1559.7
1820,BA,2,3-4BR,486.84,468.44,507.56,475.84,2143.9,1525.6,2239.2,1559.7
1820,BA,3,3-4BR,466.12,475.84,486.84,483.24,2048.6,1559.7,2143.9,1593.7
1820,BA,4,3-4BR,486.84,475.84,507.56,483.24,2143.9,1559.7,2239.2,1593.7
1825,BA,1,3-4BR,424.68,483.24,445.4,490.64,1857.9,1593.7,1953.2,1627.7
1825,BA,2,3-4BR,403.96,483.24,424.68,490.64,1762.6,1593.7,1857.9,1627.7
1825,BA,3,3-4BR,424.68,490.64,445.4,498.04,1857.9,1627.7,1953.2,1661.8
1825,BA,4,3-4BR,403.96,490.64,424.68,498.04,1762.6,1627.7,1857.9,1661.8
1829,BA,1,3-4BR,424.68,498.04,445.4,505.44,1857.9,1661.8,1953.2,1695.8
1829,BA,2,3-4BR,403.96,498.04,424.68,505.44,1762.6,1661.8,1857.9,1695.8
1829,BA,3,3-4BR,424.68,505.44,445.4,512.84,1857.9,1695.8,1953.2,1729.9
1829,BA,4,3-4BR,403.96,505.44,424.68,512.84,1762.6,1695.8,1857.9,1729.9
1830,BA,1,3-4BR,466.12,483.24,486.84,490.64,2048.6,1593.7,2143.9,1627.7
1830,BA,2,3-4BR,486.84,483.24,507.56,490.64,2143.9,1593.7,2239.2,1627.7
1830,BA,3,3-4BR,466.12,490.64,486.84,498.04,2048.6,1627.7,2143.9,1661.8
1830,BA,4,3-4BR,486.84,490.64,507.56,498.04,2143.9,1627.7,2239.2,1661.8
1839,BA,1,3-4BR,424.68,512.84,445.4,520.24,1857.9,1729.9,1953.2,1763.9
1839,BA,2,3-4BR,403.96,512.84,424.68,520.24,1762.6,1729.9,1857.9,1763.9
1839,BA,3,3-4BR,424.68,520.24,445.4,527.64,1857.9,1763.9,1953.2,1797.9
1839,BA,4,3-4BR,403.96,520.24,424.68,527.64,1762.6,1763.9,1857.9,1797.9
1840,BA,1,3-4BR,466.12,498.04,486.84,505.44,2048.6,1661.8,2143.9,1695.8
1840,BA,2,3-4BR,486.84,498.04,507.56,505.44,2143.9,1661.8,2239.2,1695.8
1840,BA,3,3-4BR,466.12,505.44,486.84,512.84,2048.6,1695.8,2143.9,1729.9
1840,BA,4,3-4BR,486.84,505.44,507.56,512.84,2143.9,1695.8,2239.2,1729.9
1806,BW,1,3-4BR,77.62,435.14,98.34,442.54,261.5,1372.4,356.8,1406.5
1806,BW,2,3-4BR,98.34,435.14,119.06,442.54,356.8,1372.4,452.1,1406.5
1806,BW,3,3-4BR,77.62,442.54,98.34,449.94,261.5,1406.5,356.8,1440.5
1806,BW,4,3-4BR,98.34,442.54,119.06,449.94,356.8,1406.5,452.1,1440.5
1816,BW,1,3-4BR,77.62,449.94,98.34,457.34,261.5,1440.5,356.8,1474.6
1816,BW,2,3-4BR,98.34,449.94,119.06,457.34,356.8,1440.5,452.1,1474.6
1816,BW,3,3-4BR,77.62,457.34,98.34,464.74,261.5,1474.6,356.8,1508.6
1816,BW,4,3-4BR,98.34,457.34,119.06,464.74,356.8,1474.6,452.1,1508.6
3645,CC,1,1BR,600.8,579.44,621.52,586.84,2668.1,2036.2,2763.4,2070.3
3645,CC,2,1BR,600.8,572.04,621.52,579.44,2668.1,2002.2,2763.4,2036.2
3645,CC,3,1BR,600.8,564.64,621.52,572.04,2668.1,1968.1,2763.4,2002.2
3645,CC,4,1BR,600.8,557.24,621.52,564.64,2668.1,1934.1,2763.4,1968.1
3645,CC,5,1BR,580.08,579.44,600.8,586.84,2572.8,2036.2,2668.1,2070.3
3645,CC,6,1BR,580.08,572.04,600.8,579.44,2572.8,2002.2,2668.1,2036.2
3645,CC,7,1BR,580.08,564.64,600.8,572.04,2572.8,1968.1,2668.1,2002.2
3645,CC,8,1BR,580.08,557.24,600.8,564.64,2572.8,1934.1,2668.1,1968.1
3651,CC,1,1BR,559.36,579.44,580.08,586.84,2477.5,2036.2,2572.8,2070.3
3651,CC,2,1BR,559.36,572.04,580.08,579.44,2477.5,2002.2,2572.8,2036.2
3651,CC,3,1BR,559.36,564.64,580.08,572.04,2477.5,1968.1,2572.8,2002.2
3651,CC,4,1BR,559.36,557.24,580.08,564.64,2477.5,1934.1,2572.8,1968.1
3651,CC,5,1BR,538.64,579.44,559.36,586.84,2382.1,2036.2,2477.5,2070.3
3651,CC,6,1BR,538.64,572.04,559.36,579.44,2382.1,2002.2,2477.5,2036.2
3651,CC,7,1BR,538.64,564.64,559.36,572.04,2382.1,1968.1,2477.5,2002.2
3651,CC,8,1BR,538.64,557.24,559.36,564.64,2382.1,1934.1,2477.5,1968.1
3657,CC,1,1BR,517.92,579.44,538.64,586.84,2286.8,2036.2,2382.1,2070.3
3657,CC,2,1BR,517.92,572.04,538.64,579.44,2286.8,2002.2,2382.1,2036.2
3657,CC,3,1BR,517.92,564.64,538.64,572.04,2286.8,1968.1,2382.1,2002.2
3657,CC,4,1BR,517.92,557.24,538.64,564.64,2286.8,1934.1,2382.1,1968.1
3657,CC,5,1BR,497.2,579.44,517.92,586.84,2191.5,2036.2,2286.8,2070.3
3657,CC,6,1BR,497.2,572.04,517.92,579.44,2191.5,2002.2,2286.8,2036.2
